1	2	3	4	n_players	n_rounds
12	28	54	57	80	480
54	57	28	12	80	480
28	54	57	12	80	480
64	37	2	62	80	480
64	62	37	2	80	480
62	2	37	64	80	480
36	15	48	76	80	480
48	76	15	36	80	480
36	48	15	76	80	480
26	17	14	25	80	480
25	14	17	26	80	480
26	14	25	17	80	480
8	13	44	71	80	480
13	8	71	44	80	480
71	44	13	8	80	480
78	38	72	5	80	480
38	78	5	72	80	480
5	78	38	72	80	480
29	52	58	53	80	480
58	29	52	53	80	480
53	52	29	58	80	480
1	70	6	42	80	480
70	42	6	1	80	480
70	42	6	1	80	480
47	16	43	77	80	480
16	47	43	77	80	480
47	43	77	16	80	480
63	23	18	22	80	480
23	18	63	22	80	480
63	22	18	23	80	480
49	69	19	11	80	480
19	49	69	11	80	480
19	49	11	69	80	480
27	31	34	73	80	480
27	31	73	34	80	480
34	27	73	31	80	480
4	79	24	10	80	480
10	4	24	79	80	480
79	10	4	24	80	480
39	46	7	75	80	480
46	39	75	7	80	480
75	39	46	7	80	480
74	9	66	33	80	480
33	74	9	66	80	480
9	74	66	33	80	480
35	68	30	40	80	480
40	35	30	68	80	480
30	68	40	35	80	480
59	61	50	80	80	480
80	61	50	59	80	480
59	80	61	50	80	480
21	41	45	20	80	480
21	20	45	41	80	480
45	41	21	20	80	480
32	65	55	56	80	480
65	32	55	56	80	480
32	55	65	56	80	480
60	67	51	3	80	480
3	67	60	51	80	480
67	60	51	3	80	480
47	61	56	42	80	480
61	56	47	42	80	480
47	61	56	42	80	480
27	72	25	52	80	480
52	72	25	27	80	480
27	72	52	25	80	480
15	32	14	7	80	480
7	15	32	14	80	480
32	14	7	15	80	480
45	34	70	11	80	480
70	11	34	45	80	480
11	34	70	45	80	480
74	30	77	37	80	480
30	74	37	77	80	480
30	77	37	74	80	480
66	39	68	35	80	480
39	35	66	68	80	480
66	39	35	68	80	480
19	79	20	41	80	480
20	19	41	79	80	480
79	19	41	20	80	480
8	5	49	73	80	480
49	73	8	5	80	480
8	49	73	5	80	480
62	58	78	24	80	480
78	62	24	58	80	480
62	78	58	24	80	480
55	63	10	50	80	480
50	63	55	10	80	480
10	63	55	50	80	480
21	23	76	40	80	480
21	76	23	40	80	480
40	23	76	21	80	480
43	22	80	67	80	480
80	67	43	22	80	480
67	80	43	22	80	480
51	16	71	64	80	480
16	51	64	71	80	480
51	16	71	64	80	480
13	1	46	18	80	480
1	13	46	18	80	480
46	13	1	18	80	480
60	75	65	57	80	480
65	75	60	57	80	480
57	75	65	60	80	480
9	3	48	31	80	480
48	9	31	3	80	480
31	48	9	3	80	480
38	28	12	53	80	480
28	12	53	38	80	480
28	53	12	38	80	480
17	54	26	33	80	480
26	33	54	17	80	480
33	17	54	26	80	480
4	6	29	69	80	480
6	29	69	4	80	480
4	6	29	69	80	480
59	44	2	36	80	480
2	36	44	59	80	480
44	59	36	2	80	480
47	44	8	67	80	480
8	47	44	67	80	480
47	67	44	8	80	480
39	61	9	1	80	480
39	9	1	61	80	480
61	39	1	9	80	480
16	19	80	43	80	480
19	43	16	80	80	480
80	43	19	16	80	480
46	27	48	34	80	480
34	46	27	48	80	480
27	34	48	46	80	480
65	74	32	38	80	480
38	32	74	65	80	480
65	32	74	38	80	480
59	28	23	4	80	480
4	28	23	59	80	480
23	28	4	59	80	480
51	70	62	26	80	480
51	26	62	70	80	480
70	62	26	51	80	480
54	60	78	49	80	480
78	54	60	49	80	480
49	54	60	78	80	480
79	63	13	6	80	480
6	79	13	63	80	480
79	13	6	63	80	480
21	30	29	75	80	480
21	75	30	29	80	480
21	30	29	75	80	480
53	24	76	55	80	480
55	76	24	53	80	480
53	76	24	55	80	480
42	52	5	25	80	480
25	52	42	5	80	480
52	25	5	42	80	480
40	66	77	37	80	480
40	66	77	37	80	480
66	40	37	77	80	480
2	69	15	57	80	480
57	69	15	2	80	480
15	57	2	69	80	480
18	10	11	58	80	480
10	18	11	58	80	480
11	58	10	18	80	480
72	71	36	22	80	480
36	72	71	22	80	480
36	22	72	71	80	480
20	31	64	56	80	480
56	31	20	64	80	480
20	56	64	31	80	480
12	73	41	14	80	480
41	14	73	12	80	480
41	14	12	73	80	480
50	35	17	7	80	480
17	35	7	50	80	480
17	50	7	35	80	480
68	45	3	33	80	480
45	33	3	68	80	480
68	45	33	3	80	480
59	36	47	8	80	480
8	36	47	59	80	480
36	8	59	47	80	480
39	48	4	46	80	480
39	48	4	46	80	480
39	4	48	46	80	480
21	15	51	49	80	480
21	49	51	15	80	480
51	21	15	49	80	480
66	28	74	67	80	480
74	67	28	66	80	480
28	74	66	67	80	480
19	6	16	61	80	480
19	61	6	16	80	480
61	16	6	19	80	480
52	34	27	65	80	480
27	52	65	34	80	480
65	34	52	27	80	480
23	62	32	9	80	480
9	32	23	62	80	480
32	9	62	23	80	480
17	63	70	78	80	480
78	17	70	63	80	480
70	78	63	17	80	480
45	54	30	80	80	480
54	45	80	30	80	480
30	80	54	45	80	480
10	13	40	79	80	480
10	79	40	13	80	480
10	40	79	13	80	480
2	77	76	60	80	480
76	60	77	2	80	480
60	76	2	77	80	480
1	68	22	72	80	480
68	22	72	1	80	480
68	22	1	72	80	480
57	12	7	20	80	480
20	7	12	57	80	480
12	57	20	7	80	480
11	25	37	41	80	480
25	37	41	11	80	480
37	11	41	25	80	480
43	50	24	33	80	480
43	33	50	24	80	480
43	33	24	50	80	480
58	38	26	3	80	480
3	26	38	58	80	480
38	3	58	26	80	480
71	69	31	44	80	480
71	69	44	31	80	480
69	31	71	44	80	480
14	18	75	42	80	480
14	42	75	18	80	480
75	18	14	42	80	480
35	29	73	64	80	480
73	64	29	35	80	480
29	64	73	35	80	480
56	53	55	5	80	480
53	5	55	56	80	480
55	56	5	53	80	480
39	36	54	51	80	480
54	36	51	39	80	480
51	36	39	54	80	480
70	21	43	79	80	480
79	21	43	70	80	480
79	70	43	21	80	480
28	74	65	10	80	480
28	74	65	10	80	480
28	65	10	74	80	480
61	19	30	27	80	480
61	27	30	19	80	480
27	30	19	61	80	480
47	78	32	52	80	480
32	52	47	78	80	480
32	78	47	52	80	480
16	6	8	13	80	480
13	6	16	8	80	480
16	8	6	13	80	480
34	48	40	17	80	480
17	48	34	40	80	480
17	48	40	34	80	480
14	68	9	29	80	480
14	68	29	9	80	480
29	9	68	14	80	480
66	23	4	38	80	480
23	66	38	4	80	480
66	38	4	23	80	480
60	45	59	62	80	480
62	45	59	60	80	480
62	45	59	60	80	480
15	1	46	63	80	480
46	1	15	63	80	480
1	63	15	46	80	480
80	2	76	25	80	480
80	76	2	25	80	480
25	2	80	76	80	480
69	49	12	57	80	480
57	69	12	49	80	480
57	12	49	69	80	480
55	75	71	26	80	480
55	75	71	26	80	480
55	26	75	71	80	480
53	67	20	11	80	480
20	53	67	11	80	480
11	67	20	53	80	480
37	33	73	24	80	480
33	37	73	24	80	480
37	73	33	24	80	480
50	31	18	77	80	480
18	31	50	77	80	480
50	31	18	77	80	480
64	58	41	7	80	480
58	64	7	41	80	480
64	58	7	41	80	480
44	42	35	3	80	480
3	42	35	44	80	480
3	42	35	44	80	480
72	5	56	22	80	480
5	56	72	22	80	480
22	72	5	56	80	480
28	61	62	19	80	480
28	19	62	61	80	480
28	61	62	19	80	480
39	74	36	66	80	480
39	74	36	66	80	480
39	36	66	74	80	480
70	27	45	21	80	480
21	45	27	70	80	480
45	21	27	70	80	480
54	79	47	32	80	480
79	47	32	54	80	480
47	54	79	32	80	480
10	78	51	68	80	480
78	68	51	10	80	480
78	10	51	68	80	480
52	48	55	14	80	480
14	55	52	48	80	480
48	55	14	52	80	480
80	8	30	43	80	480
80	8	43	30	80	480
80	8	43	30	80	480
23	17	65	16	80	480
17	23	16	65	80	480
65	17	23	16	80	480
64	6	13	29	80	480
13	29	6	64	80	480
64	6	13	29	80	480
38	20	34	9	80	480
34	38	9	20	80	480
